,short_name,similarity_score
1779,Pozo,0.83840865
1458,M. Pjaca,0.83840865
3188,V. Kadlec,0.83840865
1777,C. Musonda,0.83840865
2674,A. Najar,0.83840865
5278,S. Özkan,0.83840865
4156,J. Cavallaro,0.83840865
7102,J. Dayton,0.83840865
2525,Gustavo Lobateiro,0.83840865
5531,D. Mitchell,0.83840865
4399,G. Mackay-Steven,0.83840865
4092,J. Amoah,0.83840865
3147,R. Kishna,0.83840865
4102,J. Williams,0.83840865
4190,J. Agudelo,0.83840865
5999,P. Karlsson Lagemyr,0.83840865
1022,A. Dzagoev,0.83840865
3045,J. González,0.83840865
6504,N. Chamed,0.83840865
6782,R. Healey,0.8349181
621,S. Lulić,0.8349181
2779,K. Rezaei,0.8349181
1518,R. Falk,0.833489
5075,J. Whatmough,0.8328476
3770,M. Lustig,0.8328476
5118,J. Moore-Taylor,0.8328476
132,J. Boateng,0.8328476
274,M. Arnautović,0.83181643
5993,A. Sabiri,0.83181643
5050,L. Cacace,0.8311333
3082,J. Valencia,0.83045745
4000,V. Dragomir,0.83045745
1646,M. Braithwaite,0.83045745
1402,Marcos Guilherme,0.83045745
5602,S. Kaikai,0.83045745
3596,B. McKay,0.83045745
2642,Carlinhos,0.82948154
3815,D. Fettouhi,0.82948154
3116,F. Gorriarán,0.82948154
6779,Kim Hyeon Wook,0.82948154
1757,João Carvalho,0.82948154
691,A. Miranchuk,0.82948154
2293,Lee Jae Sung,0.82948154
41,Bernardo Silva,0.82948154
727,K. Fortounis,0.82948154
5977,Moreto Cassamá,0.82948154
3567,D. Rojas,0.82948154
2503,S. Cárdenas,0.82948154
671,J. Ikoné,0.82948154
3122,E. Hestad,0.82948154
1780,E. Buendía,0.82948154
1791,Francisco Geraldes,0.82948154
2102,Carlitos,0.82948154
5103,Borja Sánchez,0.82948154
220,M. Kovačić,0.82948154
2114,I. Oblyakov,0.82948154
1142,L. Acosta,0.82948154
1385,Kaku,0.82948154
1449,D. Valdés,0.82948154
1478,Kwon Chang Hoon,0.82948154
2160,H. Mukhtar,0.82948154
4167,A. Paločević,0.82948154
1408,M. Jensen,0.82948154
4349,M. Rojas,0.82948154
526,V. Tsygankov,0.82948154
